Lat,Long
47.978035,-122.357532
47.978255,-122.357512
47.978387,-122.357104
47.978603,-122.3567
47.978856,-122.356258
47.978349,-122.355662
47.978291,-122.355571
47.978424,-122.355489
47.979308,-122.355498
47.97979,-122.35548
47.980336,-122.355443
47.980887,-122.355463
47.981027,-122.355688
47.981045,-122.356291
47.980988,-122.356699
47.981283,-122.356775
47.981709,-122.35667
47.981884,-122.356492
47.982278,-122.355922
47.982738,-122.355211
47.982651,-122.354921
47.982352,-122.354501
47.982045,-122.35413
47.982128,-122.353723
47.983416,-122.353573
47.984315,-122.351221
47.98617,-122.348975
47.98829,-122.343729
47.990197,-122.343115
47.993115,-122.340615
47.996732,-122.337388
48.007009,-122.330108
48.008797,-122.32858
48.01018,-122.327443
48.010974,-122.326634
48.011045,-122.326522
48.011032,-122.326352
48.01094,-122.326169
48.010759,-122.325986
48.010509,-122.325606
48.010368,-122.325251
48.010297,-122.324989
48.010201,-122.324662
48.010396,-122.324695
48.010449,-122.324878
48.01054,-122.325169
48.010803,-122.325237
48.010774,-122.325001
48.010896,-122.324524
48.011012,-122.323972
48.011085,-122.323773
48.011316,-122.323556
48.011447,-122.32344
48.011541,-122.323353
48.011833,-122.323329
48.012069,-122.3233
48.012144,-122.323145
48.012052,-122.323037
48.011783,-122.322934
48.011604,-122.322774
48.011548,-122.32253
48.011317,-122.322438
48.01082,-122.322469
