type,latitude,longitude,utm_easting,utm_northing,altitude_ft
T,47.937481,-122.4101611,544052.4,5309519.9,104.9
T,47.93745879,-122.4107332,544009.7,5309517.1,107.6
T,47.93633957,-122.4107871,544006.6,5309392.7,99.1
T,47.93506885,-122.4107804,544008.2,5309251.4,126.7
T,47.93472109,-122.4107981,544007.2,5309212.8,139.2
T,47.93432192,-122.4108707,544002.1,5309168.4,151.2
T,47.93323583,-122.4113382,543968.1,5309047.4,174.2
T,47.93292827,-122.4115136,543955.2,5309013.1,178.4
T,47.93266625,-122.4117169,543940.3,5308983.9,181.5
T,47.93245827,-122.4118676,543929.2,5308960.7,190.4
T,47.93224915,-122.4120289,543917.3,5308937.3,198.5
T,47.93194821,-122.4121524,543908.4,5308903.8,211.1
T,47.93160176,-122.412258,543900.8,5308865.2,221.8
T,47.93138313,-122.4122886,543898.7,5308840.9,229.1
T,47.93117598,-122.4122052,543905.1,5308818,236.8
T,47.93099447,-122.4120302,543918.3,5308797.9,242
T,47.93087939,-122.4117787,543937.2,5308785.2,246.8
T,47.93079227,-122.4116228,543948.9,5308775.6,249.7
T,47.93068093,-122.4115481,543954.6,5308763.3,252
T,47.93057455,-122.4115048,543957.9,5308751.5,254.1
T,47.93033825,-122.4115225,543956.8,5308725.2,257.6
T,47.92973883,-122.4116081,543950.9,5308658.6,266.1
T,47.92938673,-122.4116483,543948.2,5308619.4,277.7
T,47.92926064,-122.4117222,543942.8,5308605.3,281.1
T,47.929141,-122.4118338,543934.5,5308592,282.8
T,47.92910822,-122.4119373,543926.8,5308588.3,282.9
T,47.92908592,-122.4121693,543909.5,5308585.7,282.1
T,47.92906623,-122.4124078,543891.7,5308583.4,281.5
T,47.9290712,-122.4127499,543866.2,5308583.7,279.2
T,47.92905496,-122.4132125,543831.6,5308581.6,281
T,47.92903359,-122.4135377,543807.3,5308579.1,284.5
T,47.928986,-122.4139006,543780.3,5308573.6,284.5
T,47.92891368,-122.4142488,543754.3,5308565.4,280.5
T,47.92881331,-122.4145416,543732.5,5308554,279.9
T,47.92871239,-122.4148316,543711,5308542.6,282.2
T,47.92861564,-122.4150999,543691,5308531.7,285.7
T,47.92853694,-122.4152731,543678.1,5308522.9,289.7
T,47.92842183,-122.4156116,543652.9,5308509.9,298.2
T,47.92828975,-122.4159488,543627.9,5308495,307
T,47.92820548,-122.416254,543605.1,5308485.5,314.2
T,47.92814817,-122.4165424,543583.6,5308479,320.4
T,47.92809892,-122.4168964,543557.2,5308473.3,326
T,47.92807825,-122.4172262,543532.6,5308470.8,328.4
T,47.92806619,-122.4176549,543500.6,5308469.2,329
T,47.92805742,-122.4179414,543479.2,5308468.1,328.6
T,47.92802711,-122.4194998,543362.8,5308463.9,315.9
T,47.92808511,-122.4197174,543346.5,5308470.2,313.9
T,47.92812083,-122.419804,543340,5308474.1,313
T,47.92819178,-122.4199016,543332.7,5308481.9,311.6
T,47.92830687,-122.4199372,543329.9,5308494.7,309.7
T,47.92856172,-122.4199382,543329.6,5308523,305.5
T,47.92880156,-122.4199514,543328.4,5308549.7,301
T,47.92958577,-122.420057,543319.9,5308636.8,286.8
T,47.92968023,-122.4200927,543317.2,5308647.3,284.8
T,47.92977732,-122.4201713,543311.2,5308658,282.7
T,47.92983901,-122.4202844,543302.7,5308664.8,281.1
T,47.92984198,-122.4204014,543294,5308665.1,280.6
T,47.92984714,-122.4206537,543275.1,5308665.5,280.4
T,47.92981158,-122.4213704,543221.6,5308661.1,286.1
T,47.92978014,-122.4220244,543172.8,5308657.3,315
T,47.92975783,-122.4226288,543127.7,5308654.5,329.1
T,47.92977685,-122.4230562,543095.7,5308656.3,334.4
T,47.92980642,-122.4237675,543042.6,5308659.2,342.8
T,47.9298036,-122.4240182,543023.8,5308658.8,345
T,47.92980126,-122.4243338,543000.3,5308658.3,347
T,47.92981198,-122.4248636,542960.7,5308659.2,348.3
T,47.92981911,-122.4251151,542941.9,5308659.9,348.9
T,47.92984553,-122.4252855,542929.1,5308662.7,349.2
T,47.92987754,-122.4253929,542921.1,5308666.2,349.2
T,47.92996372,-122.425523,542911.3,5308675.7,348.9
T,47.93002748,-122.4255796,542907,5308682.8,348.5
