ssemmi_id,entry_id,date_time_utc,date_utc,time_utc,date_time_pstpdt,date_pstpdt,time_pstpdt,latitude,longitude,data_source_witness,type,data_source_comments,
SPOTTER 211732,35360ad2-983d-435c-a567-66d2b69f7a8d,2024-10-22_00.18.00,2024-10-22,00.18.00,2024-10-21_17.18.00,2024-10-21,17.18.00,47.87315,-122.42455,cascadiaWebMap,Southern Resident Orca,"[Orca Network] J pod very spread out in Possession triangle, trend east but lots of directional changes, some surface activity (Rachel Haight, April Janice Basham)",
SPOTTER 211734,b5585c80-6321-4516-95f1-1e408aa68c72,2024-10-22_01.06.00,2024-10-22,01.06.00,2024-10-21_18.06.00,2024-10-21,18.06.00,47.87883,-122.39735,cascadiaWebMap,Southern Resident Orca,"[Orca Network] J Pod continuing to trend east, northeast, as they forage in the triangle (Alice Thuy Talbot)",
SPOTTER 211757,3f3179a2-cca8-499a-8b20-23a189d65f23,2024-10-22_01.30.00,2024-10-22,01.30.00,2024-10-21_18.30.00,2024-10-21,18.30.00,47.88931,-122.39158,cascadiaWebMap,Southern Resident Orca,"[Orca Network] J pod, northeastbound and foraging (Scott Veirs)",
SPOTTER 211743,d4f8ad3d-627d-4a45-bf2e-b979dce555b4,2024-10-22_15.25.00,2024-10-22,15.25.00,2024-10-22_08.25.00,2024-10-22,08.25.00,47.75127,-122.42085,cascadiaWebMap,Southern Resident Orca,"[Orca Network] Possible Jpod, spread out, 3-4 east side of channel, one mid (Trish Moylan Davis)",
SPOTTER 211744,24bafa49-a17f-4bbe-90f6-defd7050a347,2024-10-22_15.52.00,2024-10-22,15.52.00,2024-10-22_08.52.00,2024-10-22,08.52.00,47.73349,-122.43458,cascadiaWebMap,Southern Resident Orca,"[Orca Network] likely Jpod, spread out, surface active (Trish Moylan Davis)",
SPOTTER 211749,504fbc5d-6742-40f8-9e6c-903ba90c3b9c,2024-10-22_16.45.00,2024-10-22,16.45.00,2024-10-22_09.45.00,2024-10-22,09.45.00,47.69953,-122.46754,cascadiaWebMap,Southern Resident Orca,"[Orca Network] likely Jpod, very spread out, previously southbound (Larry Benesh)",
SPOTTER 211751,394429e7-6ba9-4fad-9b56-b81da4741c0f,2024-10-22_17.12.00,2024-10-22,17.12.00,2024-10-22_10.12.00,2024-10-22,10.12.00,47.68127,-122.46548,cascadiaWebMap,Southern Resident Orca,"[Orca Network] likely Jpod, spread out across the channel, southbound (Kimberly Sylvester)",
SPOTTER 211752,f6b9c2a9-4c61-4e67-b778-eb5339d4b32f,2024-10-22_17.30.00,2024-10-22,17.30.00,2024-10-22_10.30.00,2024-10-22,10.30.00,47.66856,-122.4696,cascadiaWebMap,Southern Resident Orca,"[Orca Network] likely Jpod, spread out across channel, moving southbound (Sue Surowiec Larkin)",
SPOTTER 211753,6149e1e8-abfd-4411-9c60-6c6442b70f9e,2024-10-22_17.37.11,2024-10-22,17.37.11,2024-10-22_10.37.11,2024-10-22,10.37.11,47.66345,-122.50181,whalealertoa,Orca,Off Shilshole,
SPOTTER 211754,d1b3ef87-3d6b-4c20-998c-7896041fc306,2024-10-22_18.22.00,2024-10-22,18.22.00,2024-10-22_11.22.00,2024-10-22,11.22.00,47.70702,-122.45036,cascadiaWebMap,Southern Resident Orca,"[Orca Network] Jpod, spread out, northbound (Aja Petee)",
