date_seen,time_seen,latitude,longitude,no_sighted,data_source_id,data_source_comments
2024-10-06,0:07:00,47.75894,-122.44943,25,210983,"[Orca Network] Members of J Pod trailing, directional changes, milling (Tamara Kelley)"
2024-10-06,0:07:00,47.73932,-122.43432,25,210982,"[Orca Network] J Pod spread out, southbound (Scott Veirs)"
2024-10-06,0:10:00,47.70745,-122.46178,25,210981,"[Orca Network] J Pod very spread out, southbound with directional changes, foraging (Alisa Lemire Brooks)"
2024-10-06,0:28:00,47.69751,-122.45269,25,210985,[Orca Network] J Pod southbound (Aubree Mae Renfro)
2024-10-06,0:41:00,47.70167,-122.48359,25,210986,"[Orca Network] J Pod spread out, southbound (Levi Sawyers)"
2024-10-06,0:45:00,47.68411,-122.46642,25,210987,[Orca Network] J Pod southbound (Sandra Prow)
2024-10-06,1:04:00,47.67753,-122.4469,25,210989,"[Orca Network] J Pod spread out, southbound (Sandra Prow)"
2024-10-06,1:15:00,47.66285,-122.45549,25,210990,[Orca Network] J Pod southbound (Deb Cronheim)
2024-10-06,7:55:00,47.87195,-122.3742,25,211187,[Orcasound] J pods calls heard (listeners and OrcaHello).
2024-10-06,15:14:00,47.87667,-122.44097,25,211026,"[Orca Network] Probable J pod, at least 7 orcas including 2 large males very spread out, traveling north (Alice Thuy Talbot)"
2024-10-06,15:56:00,47.89097,-122.45273,25,211028,"[Orca Network] Several orcas spread out, traveling north (Melissa Peterson)"
2024-10-06,17:00:00,47.86917,-122.45638,25,211034,"[Orca Network] group has moved south but stalled with lots of direction changes and fast movements, porpising and lunging. Maybe somewhere halfway been Scatchet Head & Eglon. Only have seen maybe 6-8. They are at the very distance of my sight, so others may just not be in my view. But not all of them that I see if presumably J pod; now seeing more spread north and to west, some traveling north (Rachel Haight)"
2024-10-06,18:08:00,47.89028,-122.46626,25,211040,[Orca Network] Blows and fins seen of Probable J pod members milling in same area (Anne Scalamonti)
2024-10-06,18:59:00,47.86476,-122.45568,25,211045,"[Orca Network] J pod continuing to mill and forage in same area, direction changes, trending south (April Janice Basham)"
2024-10-06,19:23:00,47.86829,-122.45533,25,211047,"[Orca Network] J pod milling, trend north, grouped up (April Janice Basham)"
2024-10-06,19:43:00,47.86331,-122.44849,25,211050,"[Orca Network] J pod milling, surface activity (Anne Scalamonti)"
2024-10-06,20:41:00,47.89557,-122.40622,25,211057,[Orca Network] J Pod trending northeast (Jami Cantrell)
2024-10-06,21:19:00,47.89216,-122.40509,25,211070,[Orca Network] J Pod now trending southbound (Sara Frey)
2024-10-06,21:25:00,47.87115,-122.39077,25,211079,[Orca Network] At least one J Pod male southbound (Donna Green Van Renselaar)
2024-10-06,21:45:00,47.88167,-122.39526,25,211074,"[Orca Network] J Pod surface active, no direction reported (Donna Green Van Renselaar)"
2024-10-06,21:52:00,47.88082,-122.3942,25,211078,"[Orca Network] Members of J Pod surface active, at least five members trending north, northwest (Donna Green Van Renselaar)"
2024-10-06,22:10:00,47.88876,-122.43711,25,211086,[Orca Network] Most of J Pod in this area (Scott Veirs)
2024-10-06,22:10:00,47.89739,-122.40827,25,211087,"[Orca Network] At least 2 to 3 members of J Pod, including 2 males, southbound (Scott Veirs)"
2024-10-06,22:20:00,47.86712,-122.42441,25,211085,"[Orca Network] J Pod milling, directional changes (Alice Thuy Talbot)"
2024-10-06,22:55:00,47.8647,-122.46588,25,211093,"[Orca Network] Large group of J Pod members, no direction of travel given (Brian Livingston)"
2024-10-06,23:45:00,47.8052,-122.46588,25,211101,"[Orca Network] J Pod southbound, surface active (Rachel Haight)"
2024-10-06,23:55:00,47.81811,-122.46811,25,211102,"[Orca Network] At least one male member of J Pod trailing the others, southbound (Sara Frey)"
2024-10-07,0:30:00,47.77902,-122.46089,25,211109,"[Orca Network] J Pod leaders southbound, others trailing still in ferry lanes (Jenny Klis)"
2024-10-07,0:43:00,47.76608,-122.44929,25,211111,"[Orca Network] J Pod southbound (Ariel Yseth, Lauren Lo Blakeley)"
